"","Model","Metric","N","Value","sd","se","ci"
"1","L2 Dirichlet Calibration","Accuracy",10,0.887837837837838,0.0422800001090354,0.0133701099816719,0.0302452900624389
"2","L2 Dirichlet Calibration","Class-wise ECE",10,0.0751744126328061,0.01518546978075,0.00480206718468277,0.0108630306780683
"3","L2 Dirichlet Calibration","Class-wise MCE",10,0.665920894480768,0.0864639156106582,0.0273422908746269,0.0618525591493491
"4","L2 Dirichlet Calibration","Confidence ECE",10,0.0991154694275859,0.0413940040315102,0.0130899334213765,0.0296114866497184
"5","L2 Dirichlet Calibration","Confidence MCE",10,0.408692382310935,0.185529824583772,0.0586696819576221,0.132720041279527
"6","L2 Dirichlet Calibration","Kappa",10,0.804817482969141,0.0699041805741221,0.0221056428581923,0.0500064383299186
"7","L2 Dirichlet Calibration","Multiclass Brier Score",10,0.193660139732997,0.0445124463337061,0.0140760714640523,0.0318422858864652
"8","Penalized Multinomial Logistic","Accuracy",10,0.895945945945946,0.0387753859759592,0.0122618536836182,0.0277382401395805
"9","Penalized Multinomial Logistic","Class-wise ECE",10,0.0528541651602632,0.0138898197911835,0.00439234668294243,0.00993617851031115
"10","Penalized Multinomial Logistic","Class-wise MCE",10,0.670805354823629,0.1782838763004,0.0563783119192979,0.127536602134711
"11","Penalized Multinomial Logistic","Confidence ECE",10,0.0946169003052,0.0244862914531863,0.00774324524427828,0.0175164376926473
"12","Penalized Multinomial Logistic","Confidence MCE",10,0.503758894037561,0.155294831934155,0.0491085377764982,0.111091230485652
"13","Penalized Multinomial Logistic","Kappa",10,0.821872925099398,0.0648820975206937,0.0205175207534556,0.0464138565352904
"14","Penalized Multinomial Logistic","Multiclass Brier Score",10,0.182466454021334,0.0648848347500781,0.0205183863413889,0.0464158146312337
"15","Uncalibrated","Accuracy",10,0.894594594594595,0.0411860520744593,0.0130241732385594,0.0294627267811319
"16","Uncalibrated","Class-wise ECE",10,0.0568245542843507,0.00944318108104152,0.00298619605735023,0.00675524480065458
"17","Uncalibrated","Class-wise MCE",10,0.670542634734293,0.128806647224764,0.0407322383000061,0.0921427246271621
"18","Uncalibrated","Confidence ECE",10,0.0694075523319668,0.0239789947079512,0.00758282392782499,0.0171535394625669
"19","Uncalibrated","Confidence MCE",10,0.408573625037808,0.197468417754537,0.0624449966053968,0.141260396351808
"20","Uncalibrated","Kappa",10,0.816833386946446,0.0695562748663623,0.0219956254134429,0.0497575615792461
"21","Uncalibrated","Multiclass Brier Score",10,0.174232236915988,0.0483216906774851,0.0152806602930978,0.0345672551343172
