"","Model","Metric","N","Value","sd","se","ci"
"1","L2 Binomial Calibration","Accuracy",10,0.894428969359331,0.0140477636923228,0.00444229292995568,0.0100491647707471
"2","L2 Binomial Calibration","Confidence ECE",10,0.0735068560960594,0.0116170417370978,0.00367363115624679,0.00831033103358233
"3","L2 Binomial Calibration","Confidence MCE",10,0.232150621552606,0.0534758149020603,0.0169105374824085,0.0382542934925978
"4","L2 Binomial Calibration","Kappa",10,0.766155691332088,0.0308009341631842,0.00974011060165544,0.0220336609639816
"5","L2 Binomial Calibration","Multiclass Brier Score",10,0.158279811422084,0.0156899158145436,0.00496158702702537,0.0112238896320321
"6","Uncalibrated","Accuracy",10,0.894150417827298,0.0176171457390996,0.00557103064066853,0.0126025468679566
"7","Uncalibrated","Confidence ECE",10,0.0961727019498607,0.017720557302494,0.00560373224834104,0.012676523043988
"8","Uncalibrated","Confidence MCE",10,0.243942744042922,0.0528298597140775,0.0167062685163657,0.0377922049879267
"9","Uncalibrated","Kappa",10,0.768056901807662,0.0378373318767339,0.0119652149314172,0.0270671966615255
"10","Uncalibrated","Multiclass Brier Score",10,0.172766859052925,0.0125667963945264,0.00397396994982954,0.00898974458675173
