"","cell_line_name","TCGA_subtype","ACRG_subtype","TME_subtype_cal","High_cal","Low_cal","STAD_CIN","STAD_EBV","STAD_GS","STAD_MSI","MSS_TP53neg","MSS_TP53pos","MSI","EMT"
"1","NCC-StC-K140","STAD_CIN","MSS_TP53pos","Low",0.142009972631398,0.857990027368602,0.965047563583617,0.0042587912184255,0.0267583362355847,0.00393530896237288,0.158547744202845,0.828206159551999,0.0056116255981934,0.0076344706469623
"2","RERF-GC-1B","STAD_CIN","MSS_TP53pos","Low",0.176649903766308,0.823350096233692,0.996641915009388,0.000533327521187966,0.00237912847339191,0.000445628996031721,0.087625201032782,0.8792922326685,0.0102576172607087,0.0228249490380088
"3","HuG1-N","STAD_CIN","MSS_TP53pos","Low",0.408169962573239,0.591830037426761,0.975133166852817,0.00620619368552551,0.00722918855814578,0.0114314509035113,0.171325327795115,0.804621549587379,0.0202596379532404,0.00379348466426578
"4","OCUM-1","STAD_CIN","MSS_TP53pos","Low",0.283041302963066,0.716958697036934,0.489082220528801,0.0121091685996166,0.436439825719273,0.0623687851523094,0.0218325605620063,0.929107490785287,0.0478495477442647,0.00121040090844195
"5","LMSU","STAD_CIN","EMT","Low",0.259956822265585,0.740043177734415,0.498353853087596,0.0449386446491135,0.406318627809867,0.0503888744534231,0.0102968753978751,0.00147525843247572,0.0261268009947622,0.962101065174887
"6","SNU-5","STAD_CIN","MSS_TP53neg","Low",0.420763697602172,0.579236302397828,0.868781378675285,0.0111246344307363,0.0505615028302931,0.0695324840636861,0.511970180599541,0.016325695278936,0.469186637374451,0.00251748674707182
"7","SNU-620","STAD_CIN","MSS_TP53neg","Low",0.365128262107438,0.634871737892562,0.715183821263515,0.0440834677931561,0.12733890475883,0.113393806184499,0.941838736645163,0.0509192811704297,0.00625089546433847,0.000991086720069166
"8","SNU-668","STAD_GS","MSS_TP53neg","Low",0.213211220828089,0.786788779171911,0.375605860010331,0.00848182539658325,0.549052185909218,0.0668601286838679,0.591291747041295,0.046538283592885,0.172881190215621,0.189288779150199
"9","MKN1","STAD_CIN","EMT","Low",0.427100545012624,0.572899454987376,0.896397239491858,0.010202292918959,0.068888286401575,0.0245121811876081,0.021056430711882,0.00915909483700588,0.032551737220411,0.937232737230701
"10","MKN-45","STAD_CIN","MSS_TP53pos","Low",0.377240476928583,0.622759523071417,0.872453177452594,0.0105619670251671,0.0854972698761015,0.0314875856461374,0.100688650334795,0.770645691843467,0.0491609731169251,0.0795046847048128
"11","NCI-N87","STAD_CIN","MSS_TP53neg","Low",0.231140393651598,0.768859606348402,0.932596095109959,0.00386296889585197,0.0364355400327256,0.0271053959614632,0.826879717822523,0.0719797214605706,0.0977941682976585,0.00334639241924754
"12","SNU-216","STAD_CIN","MSS_TP53neg","Low",0.250098000475016,0.749901999524984,0.990772086099565,0.00117457538206407,0.0054719667552478,0.0025813717631233,0.601655356184394,0.223348377225975,0.150592577645398,0.0244036889442327
"13","GSU","STAD_GS","MSS_TP53pos","Low",0.359134497320761,0.640865502679239,0.12676101937964,0.0122991172135891,0.460288553278805,0.400651310127966,0.00129989279991254,0.998147109405197,0.000420377919483225,0.000132619875407055
"14","KE-39","STAD_CIN","MSS_TP53neg","Low",0.259956822265585,0.740043177734415,0.858008998880491,0.0711613674725267,0.0314496548327412,0.0393799788142411,0.961440823357654,0.0350301970842105,0.00252166121846907,0.00100731833966633
"15","SNU-16","STAD_CIN","MSS_TP53neg","Low",0.449455350087954,0.550544649912046,0.860203175897284,0.00373932396032485,0.073766551565576,0.062290948576815,0.989221638566784,0.00915347196200734,0.00117982965739794,0.000445059813810294
"16","Hs 746T","STAD_CIN","EMT","Low",0.262460547194746,0.737539452805254,0.640022067534686,0.134083017394214,0.168527840148331,0.0573670749227686,0.0497709570870155,0.00266510483379109,0.37660537567226,0.570958562406933
