"","DRUG_ID","SCREENING_SITE","DRUG_NAME","SYNONYMS","TARGET","TARGET_PATHWAY","drug_name","subtype","value","comparison"
"1",1003,"SANGER","Camptothecin","Camptothecine, (+)-Camptothecin","TOP1","DNA replication","camptothecin..GDSC2.1003.","STAD_CIN",0.0963654190748842,"Unfavourable"
"2",1004,"SANGER","Vinblastine","Velban","Microtubule destabiliser","Mitosis","vinblastine..GDSC2.1004.","STAD_CIN",0.155329066222397,"Unfavourable"
"3",1005,"SANGER","Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA crosslinker","DNA replication","cisplatin..GDSC2.1005.","STAD_CIN",-0.0663217172444987,"Unfavourable"
"4",1006,"SANGER","Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Antimetabolite","Other","cytarabine..GDSC2.1006.","STAD_CIN",0.209275775196905,"Unfavourable"
"5",1007,"SANGER","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","docetaxel..GDSC2.1007.","STAD_CIN",0.0366044447886298,"Unfavourable"
"6",1010,"SANGER","Gefitinib","ZD-1839, Iressa","EGFR","EGFR signaling","gefitinib..GDSC2.1010.","STAD_CIN",-0.378773650460141,"Favourable"
"7",1011,"SANGER","Navitoclax","ABT-263, ABT263, ABT 263","BCL2, BCL-XL, BCL-W","Apoptosis regulation","navitoclax..GDSC2.1011.","STAD_CIN",0.0477245429139692,"Not significant"
"8",1017,"SANGER","Olaparib","AZD2281, KU0059436,  Lynparza","PARP1, PARP2","Genome integrity","olaparib..GDSC2.1017.","STAD_CIN",0.185598283328343,"Unfavourable"
"9",1022,"SANGER","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","AZD7762..GDSC2.1022.","STAD_CIN",-0.218632502311722,"Not significant"
"10",1032,"SANGER","Afatinib","BIBW2992, Tovok, Gilotrif","ERBB2, EGFR","EGFR signaling","afatinib..GDSC2.1032.","STAD_CIN",-0.247632374051778,"Favourable"
"11",1036,"SANGER","PLX-4720","PLX4720, PLX 4720","BRAF","ERK MAPK signaling","PLX4720..GDSC2.1036.","STAD_CIN",-0.183733850504669,"Not significant"
"12",1046,"SANGER","Wee1 Inhibitor","681640, Wee1 Inhibitor","WEE1, CHEK1","Cell cycle","Wee1.Inhibitor..GDSC2.1046.","STAD_CIN",0.0399792124486905,"Not significant"
"13",1048,"SANGER","Mirin","","MRE11","Genome integrity","mirin..GDSC2.1048.","STAD_CIN",0.106681114308291,"Unfavourable"
"14",1051,"SANGER","Alisertib","MLN8237","AURKA","Mitosis","alisertib..GDSC2.1051.","STAD_CIN",0.410496649607164,"Unfavourable"
"15",1053,"SANGER","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","MK.2206..GDSC2.1053.","STAD_CIN",0.116653794425428,"Unfavourable"
"16",1054,"SANGER","Palbociclib","PD0332991, PD-0332991, PF-00080665-73","CDK4, CDK6","Cell cycle","palbociclib..GDSC2.1054.","STAD_CIN",0.121342074859546,"Not significant"
"17",1057,"SANGER","Dactolisib","NVP-BEZ235, BEZ235","PI3K (class 1), MTORC1, MTORC2","PI3K/MTOR signaling","NVP.BEZ235..GDSC2.1057.","STAD_CIN",0.00414658683212004,"Unfavourable"
"18",1058,"SANGER","Pictilisib","GDC-0941, GDC0941, RG-7621","PI3K (class 1)","PI3K/MTOR signaling","GDC.0941..GDSC2.1058.","STAD_CIN",0.0748537279472681,"Unfavourable"
"19",1060,"SANGER","PD0325901","PD-0325901, PD 0325901","MEK1, MEK2","ERK MAPK signaling","PD.0325901..GDSC2.1060.","STAD_CIN",0.0914566693744808,"Not significant"
"20",1068,"SANGER","Obatoclax Mesylate","GX15-070MS, Obatoclax, GX15-070","BCL2, BCL-XL, BCL-W, MCL1","Apoptosis regulation","obatoclax..GDSC2.1068.","STAD_CIN",-0.0135718543299366,"Not significant"
"21",1079,"SANGER","Dasatinib","BMS-354825-03, BMS-354825, Sprycel","ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases","dasatinib..GDSC2.1079.","STAD_CIN",-0.267099756457328,"Not significant"
