"","Reference","Test","Z","p","adj.p","sig"
"1","EMT","GS",-5.539053,3.04e-08,1.09e-06,"***"
"2","EMT","TME High",-4.897263,9.72e-07,3.5e-05,"***"
"3","EMT","MSS TP53+",-4.5387856,5.66e-06,0.000204,"***"
"4","EMT","CIN",-3.6715018,0.000241,0.00868,"**"
"5","EMT","MSI",-3.3534977,0.000798,0.0287,"*"
"6","EBV","GS",-5.2383946,1.62e-07,5.83e-06,"***"
"7","EBV","TME High",-4.5966046,4.29e-06,0.000155,"***"
"8","EBV","MSS TP53+",-4.2381272,2.25e-05,0.000811,"***"
"9","EBV","CIN",-3.3708433,0.000749,0.027,"*"
"10","EBV","MSI",-3.0528393,0.00227,0.0816,"ns"
"11","TCGA MSI","GS",-4.5040943,6.67e-06,0.000239964,"***"
"12","TCGA MSI","TME High",-3.8623042,0.000112,0.00404,"**"
"13","TCGA MSI","MSS TP53+",-3.5038269,0.000459,0.0165,"*"
"14","TCGA MSI","CIN",-2.636543,0.00838,0.301520111,"ns"
"15","TCGA MSI","MSI",-2.3185389,0.0204,0.735121846,"ns"
"16","MSS TP53-","GS",-3.428662,0.000607,0.0218,"*"
"17","MSS TP53-","TME High",-2.786872,0.005321946,0.1915901,"ns"
"18","MSS TP53-","MSS TP53+",-2.428395,0.0152,0.545969581,"ns"
"19","MSS TP53-","CIN",-1.561111,0.118,1,"ns"
"20","MSS TP53-","MSI",-1.243107,0.214,1,"ns"
