"","DRUG_ID","SCREENING_SITE","DRUG_NAME","SYNONYMS","TARGET","TARGET_PATHWAY","drug_name","subtype","value","comparison","comparison_b","comparison_c"
"1",1053,"SANGER","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","MK.2206..GDSC2.1053.","MSI",0.130529440206166,"Unfavourable","Unfavourable","Unfavourable"
"2",1053,"SANGER","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","MK.2206..GDSC2.1053.","High_cal",0.247710084785608,"Unfavourable","Unfavourable",NA
"3",1053,"SANGER","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","MK.2206..GDSC2.1053.","STAD_GS",0.194384503560152,"Unfavourable","Unfavourable",NA
"4",1053,"SANGER","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","MK.2206..GDSC2.1053.","EMT",-0.181513043033461,"Favourable","Favourable",NA
"5",1053,"SANGER","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","MK.2206..GDSC2.1053.","MSS_TP53pos",-0.0323360799623305,"Unfavourable","Unfavourable",NA
"6",1053,"SANGER","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","MK.2206..GDSC2.1053.","STAD_EBV",-0.241767840423994,"Favourable","Favourable",NA
"7",1053,"SANGER","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","MK.2206..GDSC2.1053.","STAD_CIN",0.116653794425428,"Unfavourable","Unfavourable","Unfavourable"
"8",1053,"SANGER","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","MK.2206..GDSC2.1053.","MSS_TP53neg",0.074707835701457,"Favourable",NA,"Favourable"
"9",1053,"SANGER","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","MK.2206..GDSC2.1053.","STAD_MSI",-0.151831083119662,"Favourable","Favourable",NA
"10",1057,"SANGER","Dactolisib","NVP-BEZ235, BEZ235","PI3K (class 1), MTORC1, MTORC2","PI3K/MTOR signaling","NVP.BEZ235..GDSC2.1057.","STAD_GS",0.0933831801275733,"Unfavourable","Unfavourable",NA
"11",1057,"SANGER","Dactolisib","NVP-BEZ235, BEZ235","PI3K (class 1), MTORC1, MTORC2","PI3K/MTOR signaling","NVP.BEZ235..GDSC2.1057.","STAD_EBV",-0.142277753873639,"Favourable","Favourable",NA
"12",1057,"SANGER","Dactolisib","NVP-BEZ235, BEZ235","PI3K (class 1), MTORC1, MTORC2","PI3K/MTOR signaling","NVP.BEZ235..GDSC2.1057.","STAD_CIN",0.00414658683212004,"Unfavourable","Unfavourable","Unfavourable"
"13",1057,"SANGER","Dactolisib","NVP-BEZ235, BEZ235","PI3K (class 1), MTORC1, MTORC2","PI3K/MTOR signaling","NVP.BEZ235..GDSC2.1057.","EMT",-0.410472744900309,"Favourable","Favourable",NA
"14",1057,"SANGER","Dactolisib","NVP-BEZ235, BEZ235","PI3K (class 1), MTORC1, MTORC2","PI3K/MTOR signaling","NVP.BEZ235..GDSC2.1057.","MSS_TP53pos",0.386038993847502,"Unfavourable","Unfavourable",NA
"15",1057,"SANGER","Dactolisib","NVP-BEZ235, BEZ235","PI3K (class 1), MTORC1, MTORC2","PI3K/MTOR signaling","NVP.BEZ235..GDSC2.1057.","MSS_TP53neg",-0.179472786341057,"Favourable",NA,"Favourable"
"16",1057,"SANGER","Dactolisib","NVP-BEZ235, BEZ235","PI3K (class 1), MTORC1, MTORC2","PI3K/MTOR signaling","NVP.BEZ235..GDSC2.1057.","MSI",0.0581639571542001,"Unfavourable","Unfavourable","Unfavourable"
