,Accuracy,Kappa,Brier_score,Model,FS
tcga_models2.1,0.905405405,0.833226014,0.166745647,Elastic Net Elastic Net,Elastic Net
tcga_models2.2,0.932432432,0.883427851,0.14333816,Elastic Net Elastic Net,Elastic Net
tcga_models2.3,0.891891892,0.815691158,0.193328911,Elastic Net Elastic Net,Elastic Net
tcga_models2.4,0.905405405,0.833010961,0.146843391,Elastic Net Elastic Net,Elastic Net
tcga_models2.5,0.810810811,0.684914842,0.266524176,Elastic Net Elastic Net,Elastic Net
tcga_models2.6,0.864864865,0.759114583,0.206079953,Elastic Net Elastic Net,Elastic Net
tcga_models2.7,0.864864865,0.759427828,0.199390537,Elastic Net Elastic Net,Elastic Net
tcga_models2.8,0.918918919,0.854043393,0.156795857,Elastic Net Elastic Net,Elastic Net
tcga_models2.9,0.959459459,0.931523751,0.08268922,Elastic Net Elastic Net,Elastic Net
tcga_models2.10,0.891891892,0.813953488,0.180586516,Elastic Net Elastic Net,Elastic Net
tcga_models3.1,0.891891892,0.819291819,0.203426882,NB Elastic Net,Elastic Net
tcga_models3.2,0.891891892,0.817171093,0.19115184,NB Elastic Net,Elastic Net
tcga_models3.3,0.837837838,0.73774365,0.309468006,NB Elastic Net,Elastic Net
tcga_models3.4,0.945945946,0.905732484,0.117156951,NB Elastic Net,Elastic Net
tcga_models3.5,0.783783784,0.646356033,0.399371412,NB Elastic Net,Elastic Net
tcga_models3.6,0.837837838,0.729268293,0.315776259,NB Elastic Net,Elastic Net
tcga_models3.7,0.824324324,0.706349206,0.340679207,NB Elastic Net,Elastic Net
tcga_models3.8,0.824324324,0.709716355,0.326463924,NB Elastic Net,Elastic Net
tcga_models3.9,0.864864865,0.786866359,0.256796898,NB Elastic Net,Elastic Net
tcga_models3.10,0.851351351,0.761430246,0.26940699,NB Elastic Net,Elastic Net
tcga_models4.1,0.864864865,0.764030612,0.180462054,RF Elastic Net,Elastic Net
tcga_models4.2,0.891891892,0.803191489,0.234558162,RF Elastic Net,Elastic Net
tcga_models4.3,0.824324324,0.689477082,0.279914595,RF Elastic Net,Elastic Net
tcga_models4.4,0.878378378,0.780776827,0.181639459,RF Elastic Net,Elastic Net
tcga_models4.5,0.743243243,0.502476999,0.332882162,RF Elastic Net,Elastic Net
tcga_models4.6,0.824324324,0.683760684,0.236883351,RF Elastic Net,Elastic Net
tcga_models4.7,0.824324324,0.654205607,0.275672216,RF Elastic Net,Elastic Net
tcga_models4.8,0.891891892,0.807040417,0.200939784,RF Elastic Net,Elastic Net
tcga_models4.9,0.945945946,0.907730673,0.181655676,RF Elastic Net,Elastic Net
tcga_models4.10,0.837837838,0.708470125,0.250141514,RF Elastic Net,Elastic Net
