,Accuracy,Kappa,Brier_score,Model,FS
tme_models1.1,0.777158774,0.475222921,0.307855002,Full Elastic Net,Full
tme_models1.2,0.768802228,0.448132165,0.325041558,Full Elastic Net,Full
tme_models1.3,0.754874652,0.404463882,0.324482006,Full Elastic Net,Full
tme_models1.4,0.771587744,0.455839403,0.318395948,Full Elastic Net,Full
tme_models1.5,0.802228412,0.527920286,0.295200809,Full Elastic Net,Full
tme_models1.6,0.835654596,0.612232942,0.295495966,Full Elastic Net,Full
tme_models1.7,0.763231198,0.445615246,0.326936338,Full Elastic Net,Full
tme_models1.8,0.78551532,0.493931128,0.319336848,Full Elastic Net,Full
tme_models1.9,0.782729805,0.490298154,0.31201862,Full Elastic Net,Full
tme_models1.10,0.782729805,0.492239066,0.303384259,Full Elastic Net,Full
tme_models10.1,0.791086351,0.538979162,0.293363523,Elastic Net GBM,GBM
tme_models10.2,0.78551532,0.503475652,0.317326117,Elastic Net GBM,GBM
tme_models10.3,0.752089136,0.415063252,0.315416124,Elastic Net GBM,GBM
tme_models10.4,0.766016713,0.463397274,0.311016608,Elastic Net GBM,GBM
tme_models10.5,0.810584958,0.555644545,0.2842195,Elastic Net GBM,GBM
tme_models10.6,0.824512535,0.593752807,0.274494208,Elastic Net GBM,GBM
tme_models10.7,0.73816156,0.408359339,0.334516937,Elastic Net GBM,GBM
tme_models10.8,0.771587744,0.472229194,0.317228923,Elastic Net GBM,GBM
tme_models10.9,0.763231198,0.460035744,0.314189917,Elastic Net GBM,GBM
tme_models10.10,0.810584958,0.560682407,0.295381647,Elastic Net GBM,GBM
tme_models11.1,0.724233983,0.441644541,0.49988991,NB GBM,GBM
tme_models11.2,0.718662953,0.422746884,0.52771683,NB GBM,GBM
tme_models11.3,0.766016713,0.50586616,0.440804051,NB GBM,GBM
tme_models11.4,0.746518106,0.465607773,0.467052998,NB GBM,GBM
tme_models11.5,0.768802228,0.517559056,0.434163026,NB GBM,GBM
tme_models11.6,0.760445682,0.488824133,0.416501967,NB GBM,GBM
tme_models11.7,0.713091922,0.407353389,0.529098624,NB GBM,GBM
tme_models11.8,0.774373259,0.532364151,0.433217214,NB GBM,GBM
tme_models11.9,0.743732591,0.456937091,0.4732968,NB GBM,GBM
tme_models11.10,0.754874652,0.489364453,0.467376788,NB GBM,GBM
tme_models12.1,0.913649025,0.812810119,0.157462864,RF GBM,GBM
tme_models12.2,0.863509749,0.707221677,0.197056557,RF GBM,GBM
tme_models12.3,0.888579387,0.756312788,0.178926128,RF GBM,GBM
tme_models12.4,0.913649025,0.811478326,0.166645727,RF GBM,GBM
tme_models12.5,0.91086351,0.803650783,0.160849003,RF GBM,GBM
tme_models12.6,0.902506964,0.782510861,0.160924167,RF GBM,GBM
tme_models12.7,0.877437326,0.732895938,0.186000045,RF GBM,GBM
tme_models12.8,0.880222841,0.732799058,0.179142953,RF GBM,GBM
tme_models12.9,0.891364903,0.760269164,0.167903086,RF GBM,GBM
tme_models12.10,0.891364903,0.762827571,0.172758061,RF GBM,GBM
tme_models13.1,0.896935933,0.77337792,0.149940585,GBM GBM,GBM
tme_models13.2,0.883008357,0.742291652,0.177515252,GBM GBM,GBM
tme_models13.3,0.866295265,0.707575346,0.173814581,GBM GBM,GBM
tme_models13.4,0.896935933,0.770915613,0.156367691,GBM GBM,GBM
tme_models13.5,0.908077994,0.797150831,0.13093875,GBM GBM,GBM
tme_models13.6,0.896935933,0.770915613,0.141043103,GBM GBM,GBM
tme_models13.7,0.874651811,0.719350972,0.173204384,GBM GBM,GBM
tme_models13.8,0.877437326,0.724077697,0.165393173,GBM GBM,GBM
tme_models13.9,0.894150418,0.766835305,0.166189991,GBM GBM,GBM
tme_models13.10,0.91643454,0.813241312,0.13681834,GBM GBM,GBM
tme_models14.1,0.877437326,0.727081102,0.196224079,KNN GBM,GBM
tme_models14.2,0.849582173,0.662605729,0.22903126,KNN GBM,GBM
tme_models14.3,0.805013928,0.54431711,0.225571031,KNN GBM,GBM
tme_models14.4,0.824512535,0.599791198,0.250696379,KNN GBM,GBM
tme_models14.5,0.874651811,0.713070351,0.194420758,KNN GBM,GBM
tme_models14.6,0.855153203,0.661492711,0.236459301,KNN GBM,GBM
tme_models14.7,0.802228412,0.529749276,0.305787682,KNN GBM,GBM
tme_models14.8,0.841225627,0.628236106,0.229186011,KNN GBM,GBM
tme_models14.9,0.832869081,0.61382624,0.243268338,KNN GBM,GBM
tme_models14.10,0.832869081,0.620961498,0.251934386,KNN GBM,GBM
tme_models15.1,0.788300836,0.530298857,0.29400017,SVM GBM,GBM
tme_models15.2,0.768802228,0.474692805,0.317191758,SVM GBM,GBM
tme_models15.3,0.740947075,0.395743218,0.326916707,SVM GBM,GBM
tme_models15.4,0.757660167,0.438991971,0.321261955,SVM GBM,GBM
tme_models15.5,0.802228412,0.54043236,0.275006126,SVM GBM,GBM
tme_models15.6,0.82729805,0.599445724,0.284566641,SVM GBM,GBM
tme_models15.7,0.757660167,0.447330703,0.326283729,SVM GBM,GBM
tme_models15.8,0.791086351,0.527075685,0.323598148,SVM GBM,GBM
tme_models15.9,0.771587744,0.485781163,0.318468081,SVM GBM,GBM
tme_models15.10,0.77994429,0.503683741,0.297210809,SVM GBM,GBM
tme_models16.1,0.877437326,0.733841073,0.18764679,NNET GBM,GBM
tme_models16.2,0.846796657,0.659469155,0.218065802,NNET GBM,GBM
tme_models16.3,0.841225627,0.649624163,0.222727067,NNET GBM,GBM
tme_models16.4,0.846796657,0.661918052,0.216195067,NNET GBM,GBM
tme_models16.5,0.888579387,0.754563478,0.173415918,NNET GBM,GBM
tme_models16.6,0.863509749,0.684029961,0.201858871,NNET GBM,GBM
tme_models16.7,0.852367688,0.670659305,0.230787532,NNET GBM,GBM
tme_models16.8,0.849582173,0.669845703,0.209599456,NNET GBM,GBM
tme_models16.9,0.821727019,0.604462195,0.241248287,NNET GBM,GBM
tme_models16.10,0.880222841,0.734727545,0.167181786,NNET GBM,GBM
tme_models2.1,0.763231198,0.469885169,0.303211491,Elastic Net Elastic Net,Elastic Net
tme_models2.2,0.735376045,0.407518719,0.34241258,Elastic Net Elastic Net,Elastic Net
tme_models2.3,0.757660167,0.432570899,0.31933987,Elastic Net Elastic Net,Elastic Net
tme_models2.4,0.77994429,0.49439324,0.305629549,Elastic Net Elastic Net,Elastic Net
tme_models2.5,0.793871866,0.542659413,0.27527967,Elastic Net Elastic Net,Elastic Net
tme_models2.6,0.821727019,0.586524618,0.284886348,Elastic Net Elastic Net,Elastic Net
tme_models2.7,0.73816156,0.406173013,0.357024098,Elastic Net Elastic Net,Elastic Net
tme_models2.8,0.766016713,0.469346097,0.338852459,Elastic Net Elastic Net,Elastic Net
tme_models2.9,0.760445682,0.468496075,0.31366074,Elastic Net Elastic Net,Elastic Net
tme_models2.10,0.746518106,0.432465299,0.325437498,Elastic Net Elastic Net,Elastic Net
tme_models3.1,0.724233983,0.428445073,0.499328001,NB Elastic Net,Elastic Net
tme_models3.2,0.729805014,0.422437099,0.508654532,NB Elastic Net,Elastic Net
tme_models3.3,0.757660167,0.485563224,0.436444141,NB Elastic Net,Elastic Net
tme_models3.4,0.757660167,0.465215828,0.425897597,NB Elastic Net,Elastic Net
tme_models3.5,0.791086351,0.54227088,0.388626547,NB Elastic Net,Elastic Net
tme_models3.6,0.766016713,0.493670036,0.428136876,NB Elastic Net,Elastic Net
tme_models3.7,0.727019499,0.417497268,0.502965774,NB Elastic Net,Elastic Net
tme_models3.8,0.763231198,0.493888179,0.447377298,NB Elastic Net,Elastic Net
tme_models3.9,0.743732591,0.458805794,0.467511831,NB Elastic Net,Elastic Net
tme_models3.10,0.766016713,0.509243588,0.446727759,NB Elastic Net,Elastic Net
tme_models4.1,0.877437326,0.730019826,0.21402946,RF Elastic Net,Elastic Net
tme_models4.2,0.832869081,0.620961498,0.249083588,RF Elastic Net,Elastic Net
tme_models4.3,0.874651811,0.722389291,0.180293638,RF Elastic Net,Elastic Net
tme_models4.4,0.846796657,0.654463364,0.215349526,RF Elastic Net,Elastic Net
tme_models4.5,0.877437326,0.727081102,0.202554251,RF Elastic Net,Elastic Net
tme_models4.6,0.846796657,0.647995294,0.223053772,RF Elastic Net,Elastic Net
tme_models4.7,0.82729805,0.615432461,0.253822774,RF Elastic Net,Elastic Net
tme_models4.8,0.852367688,0.667028332,0.228871198,RF Elastic Net,Elastic Net
tme_models4.9,0.82729805,0.611200391,0.227715008,RF Elastic Net,Elastic Net
tme_models4.10,0.835654596,0.634703275,0.236140189,RF Elastic Net,Elastic Net
tme_models5.1,0.82729805,0.620933956,0.248780241,GBM Elastic Net,Elastic Net
tme_models5.2,0.77994429,0.510873877,0.283558489,GBM Elastic Net,Elastic Net
tme_models5.3,0.902506964,0.783298553,0.147393252,GBM Elastic Net,Elastic Net
tme_models5.4,0.824512535,0.605652712,0.236042822,GBM Elastic Net,Elastic Net
tme_models5.5,0.838440111,0.637613561,0.22385251,GBM Elastic Net,Elastic Net
tme_models5.6,0.844011142,0.642264849,0.241214429,GBM Elastic Net,Elastic Net
tme_models5.7,0.777158774,0.498323086,0.301616403,GBM Elastic Net,Elastic Net
tme_models5.8,0.796657382,0.539687001,0.283624468,GBM Elastic Net,Elastic Net
tme_models5.9,0.796657382,0.549653738,0.265424902,GBM Elastic Net,Elastic Net
tme_models5.10,0.802228412,0.550640834,0.263335219,GBM Elastic Net,Elastic Net
tme_models6.1,0.810584958,0.565607317,0.269885484,KNN Elastic Net,Elastic Net
tme_models6.2,0.818941504,0.588614848,0.262760067,KNN Elastic Net,Elastic Net
tme_models6.3,0.807799443,0.571235698,0.274218508,KNN Elastic Net,Elastic Net
tme_models6.4,0.832869081,0.61382624,0.228343478,KNN Elastic Net,Elastic Net
tme_models6.5,0.860724234,0.682963015,0.20365212,KNN Elastic Net,Elastic Net
tme_models6.6,0.871866295,0.706146126,0.212937171,KNN Elastic Net,Elastic Net
tme_models6.7,0.818941504,0.590132261,0.292982049,KNN Elastic Net,Elastic Net
tme_models6.8,0.838440111,0.638933204,0.243268338,KNN Elastic Net,Elastic Net
tme_models6.9,0.835654596,0.630690635,0.263076447,KNN Elastic Net,Elastic Net
tme_models6.10,0.82729805,0.606874139,0.26590065,KNN Elastic Net,Elastic Net
tme_models7.1,0.760445682,0.460697317,0.308060943,SVM Elastic Net,Elastic Net
tme_models7.2,0.743732591,0.425180132,0.340301648,SVM Elastic Net,Elastic Net
tme_models7.3,0.766016713,0.453180532,0.322022473,SVM Elastic Net,Elastic Net
tme_models7.4,0.774373259,0.483526633,0.312411605,SVM Elastic Net,Elastic Net
tme_models7.5,0.788300836,0.525148804,0.284195475,SVM Elastic Net,Elastic Net
tme_models7.6,0.816155989,0.575208864,0.295177852,SVM Elastic Net,Elastic Net
tme_models7.7,0.735376045,0.398744777,0.367012817,SVM Elastic Net,Elastic Net
tme_models7.8,0.763231198,0.462034801,0.348110584,SVM Elastic Net,Elastic Net
