"","Accuracy","Kappa","Brier_score","Model","FS"
"acrg_models1.1",0.827586206896552,0.761120263591433,0.251824490282364,"Full Elastic Net","Full"
"acrg_models1.2",0.758620689655172,0.671255060728745,0.293508998749167,"Full Elastic Net","Full"
"acrg_models1.3",0.793103448275862,0.709273182957393,0.295877003154873,"Full Elastic Net","Full"
"acrg_models1.4",0.827586206896552,0.760923330585326,0.250023454738138,"Full Elastic Net","Full"
"acrg_models1.5",0.793103448275862,0.716612377850163,0.337051186000733,"Full Elastic Net","Full"
"acrg_models1.6",0.775862068965517,0.688687035507845,0.331358656967829,"Full Elastic Net","Full"
"acrg_models1.7",0.793103448275862,0.717073170731707,0.325517911971677,"Full Elastic Net","Full"
"acrg_models1.8",0.758620689655172,0.659395973154362,0.369493960944609,"Full Elastic Net","Full"
"acrg_models1.9",0.810344827586207,0.736145574855252,0.308139401629024,"Full Elastic Net","Full"
"acrg_models1.10",0.827586206896552,0.763458401305057,0.321393833065871,"Full Elastic Net","Full"
"acrg_models10.1",0.913793103448276,0.881244881244881,0.187306550220965,"Elastic Net GBM","GBM"
"acrg_models10.2",0.706896551724138,0.601132686084142,0.367327317817143,"Elastic Net GBM","GBM"
"acrg_models10.3",0.810344827586207,0.733277591973244,0.271947030548845,"Elastic Net GBM","GBM"
"acrg_models10.4",0.844827586206897,0.78659035159444,0.275010858550138,"Elastic Net GBM","GBM"
"acrg_models10.5",0.844827586206897,0.787112561174551,0.274192579089093,"Elastic Net GBM","GBM"
"acrg_models10.6",0.844827586206897,0.786764705882353,0.240481637467077,"Elastic Net GBM","GBM"
"acrg_models10.7",0.827586206896552,0.761513157894737,0.266341296657498,"Elastic Net GBM","GBM"
"acrg_models10.8",0.706896551724138,0.588480801335559,0.402308415587739,"Elastic Net GBM","GBM"
"acrg_models10.9",0.844827586206897,0.78500823723229,0.227028334976455,"Elastic Net GBM","GBM"
"acrg_models10.10",0.896551724137931,0.857610474631751,0.2365794319492,"Elastic Net GBM","GBM"
"acrg_models11.1",0.844827586206897,0.790697674418605,0.245491288550381,"NB GBM","GBM"
"acrg_models11.2",0.741379310344828,0.648058252427185,0.468500583677896,"NB GBM","GBM"
