Variable	Chemotherapy (n/N)	HR (95% CI)	hazard	lower	upper	Interaction p
TME Subtpye						
High	43/74		0.47	0.29	0.74	0.04 *
TCGA Subtype						
CIN	171/286		0.65	0.50	0.87	0.44
EBV	13/21		0.66	0.50	0.87	0.67
GS	23/37		0.65	0.49	0.87	0.59
TCGA MSI	30/51		0.64	0.48	0.85	0.21
ACRG Subtpye						
EMT	37/63		0.65	0.49	0.87	0.69
MSI	38/65		0.66	0.50	0.87	0.53
MSS TP53-	90/147		0.65	0.49	0.86	0.30
MSS TP53+	72/120		0.66	0.50	0.88	0.22
Study						0.02 *
ACRG	71/138		0.46	0.30	0.72	
Kosin	32/55		1.43	0.72	2.83	
KUGH	43/56		0.45	0.16	1.21	
TCGA	76/126		0.93	0.56	1.55	
Yonsei	15/20		0.27	0.10	0.72	
Tumour Location						0.36
Proximal	112/188		0.76	0.51	1.12	
Distal	125/207		0.58	0.38	0.88	
Stage						0.19
II	74/129		0.72	0.37	1.39	
III	102/168		0.49	0.33	0.72	
IV	61/98		0.86	0.49	1.51	
Lauren Class						0.49
Intestinal	138/236		0.70	0.48	1.01	
Diffuse	90/144		0.65	0.41	1.02	
Mixed	9/15		0.30	0.08	1.14	
Treatment	237/395		0.66	0.50	0.87	
