"","x"
"1","ACTN1"
"2","AIF1"
"3","AIM2"
"4","AMPH"
"5","APOL3"
"6","ATL1"
"7","C3orf70"
"8","CGN"
"9","CHAF1A"
"10","CLIP3"
"11","CRYAB"
"12","EPS8L2"
"13","FBLN1"
"14","FBXO6"
"15","FERMT2"
"16","FGR"
"17","GASK1B"
"18","GZMB"
"19","HLA-DRA"
"20","ICAM3"
"21","IGFLR1"
"22","IRF1"
"23","LAG3"
"24","LHFPL6"
"25","MAMDC2"
"26","MFAP4"
"27","MYH11"
"28","NUB1"
"29","PBX1"
"30","PDZRN3"
"31","PLPP2"
"32","PPP1R14A"
"33","PRICKLE2"
"34","PRSS23"
"35","RBM39"
"36","RBPMS2"
"37","REEP1"
"38","RGS2"
"39","SGCE"
"40","SLC24A3"
"41","SMAD9"
"42","SRPX"
"43","TAP1"
"44","TIMP2"
"45","TPM1"
"46","TSPAN18"
"47","UBD"
"48","VIPR1"
"49","WARS1"
"50","ZCCHC24"
