TCGA ,TME,ACRG
ABCB6,ACTN1,ATP9A
ATP5F1A,AIF1,BAG4
BCL2A1,AIM2,DDB2
CBR4,AMPH,ERI1
CDKN2A,APOL3,EXOSC9
CHMP7,ATL1,FAS
COX18,C3orf70,GSTA4
DDB2,CGN,HSPA4L
DDX27,CHAF1A,MCUB
FAH,CLIP3,MDM2
FAS,CRYAB,PBK
GGT7,EPS8L2,PGAM1
H4C14,FBLN1,UBA6
ITGB7,FBXO6,YTHDC2
JAK2,FERMT2,ATP8B2
LTA,FGR,DENND5A
LYN,GASK1B,GYPC
MCUR1,GZMB,JAM3
ME2,HLA-DRA,KCNJ8
OSER1,ICAM3,LIX1L
PGAM1,IGFLR1,MCC
PGGT1B,IRF1,PTPRM
PLEKHB1,LAG3,QKI
PPP1R3D,LHFPL6,SYT11
PREPL,MAMDC2,TCF4
RELL2,MFAP4,TSHZ3
SCNN1A,MYH11,ZEB1
SCO1,NUB1,ZFPM2
TNFSF9,PBX1,ANLN
TP53I13,PDZRN3,BMF
TTC30A,PLPP2,CCNA2
YBEY,PPP1R14A,CDCA2
CLDN3,PRICKLE2,CEP55
F12,PRSS23,DNAJC9
HSD17B12,RBM39,SDAD1
HYLS1,RBPMS2,UNG
MLYCD,REEP1,WDHD1
NMNAT3,RGS2,NR3C1
SLC6A8,SGCE,SHE
C22orf15,SLC24A3,
CKS1B,SMAD9,
DENND2A,SRPX,
GMNN,TAP1,
LCNL1,TIMP2,
MOB3A,TPM1,
NFE2L3,TSPAN18,
PARD6B,UBD,
ST7L,VIPR1,
STIL,WARS1,
STIP1,ZCCHC24,
KNOP1,,
MLH1,,
NCK2,,
POU2F1,,
SLC35A1,,
SMAP1,,
TXNDC9,,
